"week","UniqueAddresses","Transactions","Payments","TransactionVolumeUSD","PC_network"
2009-01-04,35.3333333333333,0,0,-100,-0.00468132788562243
2009-01-11,111.666666666667,0,0,6616.66666666667,-0.00492157837603491
2009-01-18,202,54,0,-1850,-0.00480335331484698
2009-01-25,113.333333333333,-38.6666666666667,0,3133.33333333333,-0.0060681568028647
2009-02-01,129,-2.33333333333333,0,-850,-0.00546167881112292
2009-02-08,136,14,0,-275,-0.00539692898560162
2009-02-15,121.5,-14.5,0,-675,-0.00579122649686283
2009-02-22,107.5,-14,0,-800,-0.00571692570222737
2009-03-01,117,9.5,0,1575,-0.00525582227295718
2009-03-08,117.666666666667,-7,0,-25,-0.00554733578843714
2009-03-15,124.666666666667,8.66666666666667,0,-350,-0.0054288893614634
2009-03-22,107.666666666667,0.666666666666657,0,450,-0.00555853488446527
2009-03-29,113,-8.66666666666666,0,-150,-0.00552786157941894
2009-04-05,115,10.3333333333333,0,-1566.66666666667,-0.00548100204480599
2009-04-12,122.333333333333,-3.33333333333333,0,366.666666666667,-0.00547268507337908
2009-04-19,115.666666666667,-23.3333333333333,0,300,-0.00563055603430219
2009-04-26,130,31.6666666666667,0,173.333333333333,-0.00524833135772417
2009-05-03,101.666666666667,-49,0,26.666666666667,-0.00591610144785177
2009-05-10,134.666666666667,46.3333333333333,0,1200,-0.00504236976974297
2009-05-17,83,-23.3333333333333,0,-5750,-0.0059691035069297
2009-05-24,109,8,0,3666.66666666667,-0.00521740225208188
2009-05-31,78.6666666666667,-81,0,-1541.66666666667,-0.00615128948829706
2009-06-07,86,50,0,625,-0.00494506306913881
2009-06-14,78,1.5,0,-400,-0.00555642973542884
2009-06-21,73,11.5,0,-275.51,-0.00545049736056548
2009-06-28,79.6666666666667,-1,0,575.51,-0.00544552846506896
2009-07-05,83,-13,0,-350,-0.00556800779206979
2009-07-12,61,-5,0,-3650,-0.00574897119871704
2009-07-19,74.6666666666667,2,0,1483.33333333333,-0.00537786762797926
2009-07-26,38.3333333333333,-45,0,-1033.33333333333,-0.00588827828425256
2009-08-02,80,68.3333333333333,0,6883.02,-0.0047065992332849
2009-08-09,34.3333333333333,-34,0,-6233.02,-0.00610635188527766
2009-08-16,20.3333333333333,-49.3333333333333,0,-500,-0.00586184211063257
2009-08-23,76.3333333333333,65,0,2750,-0.00489760885706347
2009-08-30,76,-11,0,-266.666666666667,-0.00557275312066946
2009-09-06,68,2.33333333333333,0,166.666666666667,-0.00552393955007463
2009-09-13,80.6666666666667,8.66666666666667,0,333.666666666667,-0.00538006619339984
2009-09-20,92,22,0,666.333333333333,-0.00533573079111595
