"week","market_cap_BTC","market_cap_ETH","market_cap_XRP","market_cap_DOGE","market_cap_SHIB"
2021-04-11,4013552578863138,75856905955299.5,22631929190.4994,8926841643.97474,921.667421673013
2021-04-18,2453217968546243,70449627978063.6,9004491491.38086,2987890360.83603,83.694372788692
2021-04-25,2477147096661407,84624321921713.8,13549585090.0207,3978342602.02904,184.790447533449
2021-05-02,3844766235272454,195946053292743,9921884729.56853,16264278934.9473,97888.5368248552
2021-05-09,2766381672580642,154337585036211,19794030681.7365,4996866202.51274,41725.971174652
2021-05-16,2153749637392362,96626104175754,7930343148.25167,1795127211.39212,9838.56969516
2021-05-23,1565719761226339,76987673482645.5,4288930283.47203,748897140.068832,4017.47994185684
2021-05-30,1278429653147626,80223842925654.9,3007280184.45964,1289235674.83865,4061.6574857453
2021-06-06,1348301728089946,61030652619531.1,2274513981.21024,501092598.981488,3613.2403458034
2021-06-13,1111474451658503,40881396564905.8,1682108511.96176,288289395.608583,6401.69322383728
2021-06-20,1241919919794422,37751002671509.7,1513121301.2277,648544749.683725,3543.45690260283
2021-06-27,845356413212907,38808654910631.6,1260197797.28637,225962781.052448,3484.40110824624
2021-07-04,770029133253498,37121731441853.4,1118561713.61747,270505921.922817,2461.70428978479
2021-07-11,595817923949772,25376435523172,1046181643.5791,445419527.60487,1878.19138276168
2021-07-18,742935775379356,35153263176033,1199645699.31756,334626941.633761,1839.72809307275
2021-07-25,1074074279865949,45656116933655.6,1953495316.99981,281059943.155193,1193.30599220825
2021-08-01,1783607118656079,104446090572652,3319935753.19057,1651359137.23731,5873.08342517189
2021-08-08,1469959453283928,64854520363667.2,15502990453.8459,1371059474.04189,5067.28182720634
2021-08-15,1984839441314100,58437213119017.9,6028195455.13964,823797827.289131,2515.87012164804
2021-08-22,1397048886713555,44479581090059.3,4187894761.69722,438385480.22808,1567.11478049489
2021-08-29,1871491414923407,80893902302267,5380210551.27184,677572879.834817,2648.07389832156
2021-09-05,1559442820412072,60915871753218.5,4305039181.80729,288834196.416041,1604.70499801049
2021-09-12,1379584667904128,54895888720885.9,2483517797.43623,241181183.944599,3964.1057339916
2021-09-19,1350045866753835,55389111037410.2,2887104488.30407,222646472.151835,1590.9414228217
2021-09-26,1460656033891185,65129592853324.1,4035186667.61854,255522006.669772,2561.85773753193
2021-10-03,1785984143376044,45436765432020.5,5619336022.37471,366192592.730219,172828.683930366
2021-10-10,2085615868789540,63500440419143.1,4286741027.69904,365868873.07555,48651.8946916981
2021-10-17,1650416740236742,61663602777824.2,2447485561.90376,378275377.208328,159909.214476428
2021-10-24,1990217261476872,63221502735532.9,3535053549.91034,976060475.085803,526056.918467099
2021-10-31,1790137997022144,65242239843352.8,3031181537.96844,354485888.191927,380283.206062899
2021-11-07,1964659125418494,67248192965142.5,3443678759.81304,241773917.521059,87285.7567962984
2021-11-14,1828182720828242,68125768654987.9,2827352457.9683,187655547.019007,115503.980645474
2021-11-21,1675195803159919,67663346227121.1,2283033962.79632,188464531.09014,80674.6459914417
2021-11-28,3020218493279270,158517600284963,5904474399.1716,784898862.762912,143319.289682633
2021-12-05,1272361547770091,78141710971854.6,1726445345.38897,117118193.160445,31966.5995866183
2021-12-12,1222673103285828,77359146388950,1495017278.78804,113610438.584484,22001.4202973932
2021-12-19,959713049407735,44595418652394.2,1615704418.06561,192648044.584463,42861.4496645494
2021-12-26,1172269032169685,36853279850841.2,982383791.544592,64254138.5983854,20698.8453350086
2022-01-02,1171319650322192,49588230976646.5,1339925302.01665,88807542.5793016,30270.8361992014
2022-01-09,793227025296834,32039702856985,804189861.485781,347675685.242699,21616.9006425945
2022-01-16,1391204849333501,65829067430440,2154013664.14567,225055864.714626,44951.1294961592
2022-01-23,655754843694121,29014793191980.1,591546364.563706,56880609.2547324,12122.7415606836
2022-01-30,814436824290897,39498203876694.8,1174403570.00647,86373151.2625588,19379.019695016
2022-02-06,766838084935131,32833038744305.4,2843277028.04195,87032812.4495335,48810.500472206
2022-02-13,551140320916452,27012921478286.2,2735269948.47091,92600442.7154876,26017.3164928592
2022-02-20,683071297054611,32607558072174.2,2291741033.61871,68364624.2052202,26384.4388532401
2022-02-27,668861094356631,21511497986538.7,1734647609.66571,41760107.3124692,18070.8996434907
2022-03-06,568638567646459,16820860043394.2,2934229454.58062,27088852.2068954,9655.18310741094
2022-03-13,829672984203601,34107236429563.3,1676759498.47277,77611436.196252,45908.9163998376
2022-03-20,754309328873871,27900178866387,879757280.18467,82934097.445877,11349.6658974474
2022-03-27,1345638749335662,81205409570870.4,1339855772.16221,94795383.2698197,30923.5409234948
2022-04-03,686686343365424,32319432145237.8,769927495.278916,75614394.9736668,11407.0947368325
2022-04-10,680471437171199,26846387471827.7,1193838264.16296,83930563.7027244,8805.26626676554
2022-04-17,637237695358223,26786655036827.3,943031548.094637,46949456.5389232,8205.14318622292
2022-04-24,901223856400449,36914696570476.5,968243399.422365,116920280.951776,16368.1123865067
2022-05-01,865391931585668,35242656081120.9,728173661.266924,95187750.1792307,8054.79631529146
2022-05-08,860290216858222,31783917813518.3,864939170.36297,81039088.9841427,10678.5686246536
2022-05-15,508437017719982,16875857337639.3,363145034.798767,28315883.9268442,3229.08443421547
2022-05-22,1023493091440782,40810227759590.6,334269411.74977,43828028.390459,2546.08812488599
2022-05-29,494879445226885,15634279428550.2,273270450.553455,28648917.392489,1938.87697714342
2022-06-05,772734935715806,32317335991485.7,399020768.698463,34750676.1536433,3123.09002946636
2022-06-12,798920453210026,21517608486911.3,432308694.377362,34582162.174109,2436.00389784968
2022-06-19,395052535358519,15520637281148,335263361.687544,29639320.6313021,11117.4997652355
2022-06-26,348292888556906,10596448630495.3,192061885.738645,23517036.2230737,2201.3110743902
2022-07-03,640017369349688,10735395052659.2,207849771.618365,17674966.0340564,5033.65184204456
2022-07-10,514987286053197,24839651061225.3,453355765.310858,17975536.4651329,3082.66254107686
2022-07-17,539661213137828,23237620758944.3,310587128.308077,29151783.8264152,4550.72558896305
2022-07-24,665880079689276,26418079095880.9,685287804.750937,52969251.6778114,8197.65212595796
2022-07-31,366881287897539,19890366352090.8,185324572.451693,19089937.0141776,3344.67617830405
