"Date","UniqueAddresses","Transactions","Payments","TransactionVolumeUSD"
2009-01-03,2,NA,NA,100
2009-01-07,NA,NA,NA,0
2009-01-11,NA,NA,NA,4650
2009-01-12,102,NA,NA,NA
2009-01-15,NA,NA,NA,6800
2009-01-16,110,NA,NA,NA
2009-01-17,NA,109,NA,NA
2009-01-19,NA,NA,NA,6525
2009-01-20,115,NA,NA,NA
2009-01-21,NA,105,NA,NA
2009-01-23,NA,NA,NA,4650
2009-01-24,202,NA,NA,NA
2009-01-25,NA,192,NA,NA
2009-01-27,NA,NA,NA,5000
2009-01-28,112,NA,NA,NA
2009-01-29,NA,122,NA,NA
2009-01-31,NA,NA,NA,7900
2009-02-01,114,NA,NA,NA
2009-02-02,NA,129,NA,NA
2009-02-04,NA,NA,NA,5950
2009-02-05,126,NA,NA,NA
2009-02-06,NA,122,NA,NA
2009-02-08,NA,NA,NA,7600
2009-02-09,135,NA,NA,NA
2009-02-10,NA,120,NA,NA
2009-02-12,NA,NA,NA,5950
2009-02-14,136,136,NA,NA
2009-02-16,NA,NA,NA,7600
2009-02-18,118,118,NA,NA
2009-02-20,NA,NA,NA,6100
2009-02-22,125,125,NA,NA
2009-02-24,NA,NA,NA,5300
2009-02-26,107,107,NA,NA
2009-02-28,NA,NA,NA,5300
2009-03-02,108,108,NA,NA
2009-03-04,NA,NA,NA,6450
2009-03-06,117,117,NA,NA
2009-03-08,NA,NA,NA,7300
2009-03-10,107,107,NA,NA
2009-03-12,NA,NA,NA,6050
2009-03-14,NA,110,NA,NA
2009-03-15,123,NA,NA,NA
2009-03-16,NA,NA,NA,8450
2009-03-18,NA,116,NA,NA
2009-03-19,122,NA,NA,NA
2009-03-20,NA,NA,NA,6500
2009-03-22,NA,120,NA,NA
2009-03-23,130,NA,NA,NA
2009-03-24,NA,NA,NA,5250
2009-03-26,NA,118,NA,NA
2009-03-27,106,NA,NA,NA
2009-03-28,NA,NA,NA,6950
2009-03-30,NA,120,NA,NA
2009-03-31,111,NA,NA,NA
2009-04-01,NA,NA,NA,5700
2009-04-03,NA,116,NA,NA
2009-04-04,113,NA,NA,NA
2009-04-05,NA,NA,NA,7350
2009-04-07,NA,100,NA,NA
2009-04-08,105,NA,NA,NA
2009-04-09,NA,NA,NA,4950
2009-04-11,NA,121,NA,NA
2009-04-12,120,NA,NA,NA
2009-04-13,NA,NA,NA,5800
2009-04-15,NA,113,NA,NA
2009-04-16,123,NA,NA,NA
2009-04-17,NA,NA,NA,5600
2009-04-19,NA,120,NA,NA
2009-04-20,121,NA,NA,NA
2009-04-21,NA,NA,NA,6200
2009-04-23,NA,75,NA,NA
2009-04-24,115,NA,NA,NA
2009-04-25,NA,NA,NA,5900
2009-04-27,NA,104,NA,NA
2009-04-28,117,NA,NA,NA
2009-04-29,NA,NA,NA,7400
2009-05-01,NA,121,NA,NA
2009-05-02,130,NA,NA,NA
2009-05-03,NA,NA,NA,5410
2009-05-05,NA,136,NA,NA
2009-05-06,135,NA,NA,NA
2009-05-07,NA,NA,NA,6100
2009-05-09,NA,77,NA,NA
2009-05-10,85,NA,NA,NA
2009-05-11,NA,NA,NA,6100
2009-05-13,NA,116,NA,NA
2009-05-14,143,NA,NA,NA
2009-05-15,NA,NA,NA,7300
2009-05-17,NA,127,NA,NA
2009-05-18,118,NA,NA,NA
2009-05-19,NA,NA,NA,4300
2009-05-21,NA,82,NA,NA
2009-05-22,62,NA,NA,NA
2009-05-23,NA,NA,NA,1550
2009-05-25,NA,109,NA,NA
2009-05-26,125,NA,NA,NA
2009-05-27,NA,NA,NA,5950
2009-05-29,NA,107,NA,NA
2009-05-30,109,NA,NA,NA
2009-05-31,NA,NA,NA,4850
2009-06-02,NA,110,NA,NA
2009-06-03,72,NA,NA,NA
2009-06-04,NA,NA,NA,3250
2009-06-06,NA,27,NA,NA
2009-06-08,82,NA,NA,4100
2009-06-10,NA,82,NA,NA
2009-06-12,86,NA,NA,4300
2009-06-14,NA,72,NA,NA
2009-06-16,71,NA,NA,3550
2009-06-18,NA,80,NA,NA
2009-06-20,78,NA,NA,3900
2009-06-22,NA,77,NA,NA
2009-06-24,98,NA,NA,4898.98
2009-06-26,NA,90,NA,NA
2009-06-28,48,NA,NA,2350
2009-06-30,NA,86,NA,NA
2009-07-02,85,NA,NA,4200
2009-07-04,NA,89,NA,NA
2009-07-06,NA,NA,NA,4200
2009-07-07,69,NA,NA,NA
2009-07-08,NA,74,NA,NA
2009-07-10,NA,NA,NA,4050
2009-07-11,83,NA,NA,NA
2009-07-12,NA,77,NA,NA
2009-07-14,NA,NA,NA,3450
2009-07-15,45,NA,NA,NA
2009-07-16,NA,71,NA,NA
2009-07-18,NA,NA,NA,200
2009-07-19,69,NA,NA,NA
2009-07-20,NA,71,NA,NA
2009-07-22,NA,NA,NA,3050
2009-07-23,75,NA,NA,NA
2009-07-24,NA,73,NA,NA
2009-07-26,NA,NA,NA,1000
2009-07-27,74,NA,NA,NA
2009-07-28,NA,41,NA,NA
2009-07-30,NA,NA,NA,750
2009-07-31,17,NA,NA,NA
2009-08-01,NA,28,NA,NA
2009-08-03,NA,NA,NA,600
2009-08-04,81,NA,NA,NA
2009-08-05,NA,87,NA,NA
2009-08-07,NA,NA,NA,9549.53
2009-08-08,80,NA,NA,NA
2009-08-09,NA,101,NA,NA
2009-08-11,NA,NA,NA,3500
2009-08-12,63,NA,NA,NA
2009-08-13,NA,85,NA,NA
2009-08-15,NA,NA,NA,1300
2009-08-16,20,NA,NA,NA
2009-08-17,NA,17,NA,NA
2009-08-19,NA,NA,NA,900
2009-08-20,23,NA,NA,NA
2009-08-21,NA,13,NA,NA
2009-08-23,NA,NA,NA,750
2009-08-24,15,NA,NA,NA
2009-08-25,NA,51,NA,NA
2009-08-27,NA,NA,NA,1450
2009-08-28,75,NA,NA,NA
2009-08-29,NA,78,NA,NA
2009-08-31,NA,NA,NA,4600
2009-09-01,79,NA,NA,NA
2009-09-02,NA,65,NA,NA
2009-09-04,NA,NA,NA,3200
2009-09-05,76,NA,NA,NA
2009-09-06,NA,68,NA,NA
2009-09-08,NA,NA,NA,3450
2009-09-09,54,NA,NA,NA
2009-09-10,NA,67,NA,NA
2009-09-12,NA,NA,NA,3450
2009-09-13,75,NA,NA,NA
2009-09-14,NA,74,NA,NA
2009-09-16,NA,NA,NA,3551
2009-09-17,86,NA,NA,NA
2009-09-18,NA,78,NA,NA
2009-09-20,NA,NA,NA,3900
2009-09-21,70,NA,NA,NA
2009-09-22,NA,27,NA,NA
2009-09-24,NA,NA,NA,4850
2009-09-25,93,NA,NA,NA
2009-09-26,NA,100,NA,NA
2009-09-28,NA,NA,NA,4250
2009-09-29,90,NA,NA,NA
2009-09-30,NA,85,NA,NA
2009-10-02,NA,NA,NA,4100
2009-10-03,58,NA,NA,NA
2009-10-04,NA,53,NA,NA
2009-10-06,NA,NA,NA,3100
2009-10-07,59,NA,NA,NA
2009-10-08,NA,70,NA,NA
2009-10-10,NA,NA,NA,3950
2009-10-11,74,NA,NA,NA
2009-10-12,NA,59,NA,NA
2009-10-14,NA,NA,NA,3450
2009-10-15,71,NA,NA,NA
2009-10-16,NA,61,NA,NA
2009-10-18,NA,NA,NA,4050
2009-10-19,112,NA,NA,NA
2009-10-20,NA,96,NA,NA
2009-10-22,NA,NA,NA,16450
2009-10-23,89,NA,NA,NA
2009-10-24,NA,63,NA,NA
2009-10-26,NA,NA,NA,3550
2009-10-27,65,NA,NA,NA
2009-10-28,NA,67,NA,NA
2009-10-30,NA,NA,NA,3000
2009-10-31,46,NA,NA,NA
2009-11-01,NA,25,NA,NA
2009-11-03,NA,NA,NA,3100
2009-11-04,64,NA,NA,NA
2009-11-05,NA,58,NA,NA
2009-11-07,NA,NA,NA,3450
2009-11-08,73,NA,NA,NA
2009-11-09,NA,64,NA,NA
2009-11-11,NA,NA,NA,93200
2009-11-12,66,NA,NA,NA
2009-11-13,NA,83,NA,NA
2009-11-15,NA,NA,NA,4800
2009-11-16,97,NA,NA,NA
2009-11-17,NA,92,NA,NA
2009-11-19,NA,NA,NA,47850
2009-11-20,86,NA,NA,NA
2009-11-21,NA,73,NA,NA
2009-11-23,NA,NA,NA,4800
2009-11-24,93,NA,NA,NA
2009-11-25,NA,90,NA,NA
2009-11-27,NA,NA,NA,3700
2009-11-28,71,NA,NA,NA
2009-11-29,NA,60,NA,NA
2009-12-01,NA,NA,NA,13700
2009-12-02,94,NA,NA,NA
2009-12-03,NA,88,NA,NA
2009-12-05,NA,NA,NA,4100
2009-12-07,112,112,NA,NA
2009-12-09,NA,NA,NA,7155
2009-12-11,112,112,NA,NA
2009-12-13,NA,NA,NA,5700
2009-12-15,113,112,NA,NA
2009-12-17,NA,NA,NA,8749.5
2009-12-19,199,199,NA,NA
2009-12-21,NA,NA,NA,8800
2009-12-23,154,154,NA,NA
2009-12-25,NA,NA,NA,7500
2009-12-27,168,168,NA,NA
2009-12-29,NA,NA,NA,8550
2009-12-31,138,138,NA,NA
2010-01-02,NA,NA,NA,6350
2010-01-04,184,183,NA,NA
2010-01-06,NA,NA,NA,8150
2010-01-08,153,153,NA,NA
2010-01-10,NA,NA,NA,9500
2010-01-12,162,161,NA,NA
2010-01-14,NA,NA,NA,7555
2010-01-16,126,126,NA,NA
2010-01-18,NA,NA,NA,6300
2010-01-20,158,158,NA,NA
2010-01-22,NA,NA,NA,6900
2010-01-24,155,155,NA,NA
2010-01-26,NA,NA,NA,10623
2010-01-28,178,179,NA,NA
2010-01-30,NA,NA,NA,12200
2010-02-01,193,193,NA,NA
2010-02-03,NA,NA,NA,13800
2010-02-05,228,227,NA,NA
2010-02-07,NA,NA,NA,11349
2010-02-09,211,210,NA,NA
2010-02-11,NA,NA,NA,12150
2010-02-13,235,235,NA,NA
2010-02-15,NA,NA,NA,13349.98
2010-02-17,248,250,NA,NA
2010-02-19,NA,NA,NA,9700.01
2010-02-21,227,227,NA,NA
2010-02-23,NA,NA,NA,12550
2010-02-25,158,158,NA,NA
2010-02-27,NA,NA,NA,9051
2010-03-01,199,199,NA,NA
2010-03-03,NA,NA,NA,17800
2010-03-05,173,173,NA,NA
2010-03-07,NA,NA,NA,16450
2010-03-09,148,148,NA,NA
2010-03-11,NA,NA,NA,9850
2010-03-13,154,154,NA,NA
2010-03-15,NA,NA,NA,6902
2010-03-17,139,139,NA,NA
2010-03-19,NA,NA,NA,13996
2010-03-21,187,190,NA,NA
2010-03-23,NA,NA,NA,14336.93
2010-03-25,201,202,NA,NA
2010-03-27,NA,NA,NA,11500
2010-03-29,201,207,NA,NA
2010-03-31,NA,NA,NA,11924.2
2010-04-02,159,161,NA,NA
2010-04-04,NA,NA,NA,12000
2010-04-06,174,174,NA,NA
2010-04-08,NA,NA,NA,12238.74
2010-04-10,295,298,NA,NA
2010-04-12,NA,NA,NA,38235.76
2010-04-14,221,223,NA,NA
2010-04-16,NA,NA,NA,23012.68
2010-04-18,3359,3351,NA,NA
2010-04-20,NA,NA,NA,24785
2010-04-22,191,199,NA,NA
2010-04-24,NA,NA,NA,20533.06
2010-04-26,207,211,NA,NA
2010-04-28,NA,NA,NA,17422.54
2010-04-30,170,170,NA,NA
2010-05-02,NA,NA,NA,10049
2010-05-04,161,177,NA,NA
2010-05-06,NA,NA,NA,23351.01
2010-05-08,NA,182,NA,NA
2010-05-09,178,NA,NA,NA
2010-05-10,NA,NA,NA,15263.78
2010-05-12,NA,158,NA,NA
2010-05-13,155,NA,NA,NA
2010-05-14,NA,NA,NA,21860.94
2010-05-16,NA,134,NA,NA
2010-05-17,163,NA,NA,NA
2010-05-18,NA,NA,NA,17820.9
2010-05-20,NA,237,NA,NA
2010-05-21,215,NA,NA,NA
2010-05-22,NA,NA,NA,54427.53
2010-05-24,NA,250,NA,NA
2010-05-25,247,NA,NA,NA
2010-05-26,NA,NA,NA,27990.97
2010-05-28,NA,277,NA,NA
2010-05-29,233,NA,NA,NA
2010-05-30,NA,NA,NA,12912.3
2010-06-01,NA,183,NA,NA
2010-06-02,189,NA,NA,NA
2010-06-03,NA,NA,NA,17274.1
2010-06-05,NA,190,NA,NA
2010-06-06,191,NA,NA,NA
2010-06-07,NA,NA,NA,35049.8
2010-06-09,NA,220,NA,NA
2010-06-10,218,NA,NA,NA
2010-06-11,NA,NA,NA,18728.78
2010-06-13,NA,238,NA,NA
2010-06-14,255,NA,NA,NA
2010-06-15,NA,NA,NA,45023
2010-06-17,NA,204,NA,NA
2010-06-18,190,NA,NA,NA
2010-06-19,NA,NA,NA,65872.79
2010-06-21,NA,242,NA,NA
2010-06-22,236,NA,NA,NA
2010-06-23,NA,NA,NA,48890
2010-06-25,NA,210,NA,NA
2010-06-26,199,NA,NA,NA
2010-06-27,NA,NA,NA,21468
2010-06-29,NA,264,NA,NA
2010-06-30,261,NA,NA,NA
2010-07-01,NA,NA,NA,37385.89
2010-07-03,NA,286,NA,NA
2010-07-04,205,NA,NA,NA
2010-07-05,NA,NA,NA,61997.01
2010-07-07,NA,218,NA,NA
2010-07-08,223,NA,NA,NA
2010-07-09,NA,NA,NA,21572
2010-07-11,NA,353,NA,NA
2010-07-12,3368,NA,NA,NA
2010-07-13,NA,NA,NA,336968.32
2010-07-15,NA,1329,NA,NA
2010-07-16,1436,NA,NA,NA
2010-07-17,NA,NA,NA,32747.88
2010-07-19,NA,528,NA,NA
2010-07-21,524,NA,NA,38004.54
2010-07-23,NA,411,NA,NA
2010-07-25,1881,NA,NA,58615.43
2010-07-27,NA,426,NA,NA
2010-07-29,431,NA,NA,28061.23
2010-07-31,NA,295,NA,NA
2010-08-02,431,NA,NA,75663.37
2010-08-04,NA,439,NA,NA
2010-08-06,422,NA,NA,25932.01
2010-08-08,NA,391,NA,NA
2010-08-10,370,NA,NA,43421.85
2010-08-12,NA,392,NA,NA
2010-08-14,440,NA,NA,30251.74
2010-08-16,NA,453,NA,NA
2010-08-18,450,NA,NA,44038.5
2010-08-20,NA,423,NA,NA
2010-08-22,373,NA,NA,31018.19
2010-08-24,NA,379,NA,NA
2010-08-26,388,NA,NA,24747.79
2010-08-28,NA,339,NA,NA
2010-08-30,359,NA,NA,21288.9100009
2010-09-01,NA,380,NA,NA
2010-09-03,373,NA,NA,38056.34
2010-09-05,NA,311,NA,NA
2010-09-07,290,NA,NA,26241.26
2010-09-09,NA,324,NA,NA
2010-09-11,330,NA,NA,18218.41
2010-09-13,NA,436,NA,NA
2010-09-15,484,NA,NA,48363.55039648
2010-09-17,NA,361,NA,NA
2010-09-19,389,NA,NA,61581.25960352
2010-09-21,NA,810,NA,NA
2010-09-23,725,NA,NA,138297.79
2010-09-25,NA,532,NA,NA
2010-09-27,693,NA,NA,44823.01
2010-09-29,NA,975,NA,NA
2010-10-01,672,NA,NA,65983.3881210799
2010-10-03,NA,377,NA,NA
2010-10-05,491,NA,NA,200021.7800002
2010-10-07,NA,340,NA,NA
2010-10-09,484,NA,NA,193563.91
2010-10-11,NA,342,NA,NA
2010-10-13,457,NA,NA,123051.79
2010-10-15,NA,328,NA,NA
2010-10-17,541,NA,NA,121991.74
2010-10-19,NA,924,NA,NA
2010-10-21,697,NA,NA,195603.98776615
2010-10-23,NA,517,NA,NA
2010-10-25,517,NA,NA,160144.65
2010-10-27,NA,568,NA,NA
2010-10-29,542,NA,NA,97225.29
2010-10-31,NA,307,NA,NA
2010-11-02,322,NA,NA,71326.09
2010-11-04,NA,342,NA,NA
2010-11-06,447,NA,NA,137435.36
2010-11-08,NA,515,NA,NA
2010-11-10,458,NA,NA,68695.56
2010-11-12,NA,286,NA,NA
2010-11-14,457,NA,NA,48214.88
2010-11-16,NA,9105,NA,NA
2010-11-18,469,NA,NA,72348.4610878806
2010-11-20,NA,9731,NA,NA
2010-11-22,418,NA,NA,39553.35
2010-11-24,NA,3936,NA,NA
2010-11-26,955,NA,NA,98806.2
2010-11-28,NA,454,NA,NA
2010-11-30,577,NA,NA,69850.9
2010-12-02,NA,460,NA,NA
2010-12-04,537,NA,NA,76656.7719751
2010-12-06,NA,465,NA,NA
2010-12-08,674,NA,NA,41547.31528566
2010-12-10,NA,373,NA,NA
2010-12-12,979,NA,NA,56341.07644603
2010-12-14,NA,637,NA,NA
2010-12-16,706,NA,NA,93390.50356946
2010-12-18,NA,499,NA,NA
2010-12-20,1120,NA,NA,91079.74700382
2010-12-22,NA,659,NA,NA
2010-12-24,711,NA,NA,67806.3074806501
2010-12-26,NA,584,NA,NA
2010-12-28,877,NA,NA,65070.79395765
2010-12-30,NA,593,NA,NA
2011-01-01,NA,NA,NA,64296.1291525801
2011-01-02,740,NA,NA,NA
2011-01-03,NA,1128,NA,NA
2011-01-05,NA,NA,NA,57126.4193429102
2011-01-06,842,NA,NA,NA
2011-01-07,NA,1020,NA,NA
2011-01-09,NA,NA,NA,46433.1946913399
2011-01-10,1187,NA,NA,NA
2011-01-11,NA,1362,NA,NA
2011-01-13,NA,NA,NA,129371.13360914
2011-01-14,1096,NA,NA,NA
2011-01-15,NA,962,NA,NA
2011-01-17,NA,NA,NA,67407.3347058399
2011-01-18,1126,NA,NA,NA
2011-01-19,NA,917,NA,NA
2011-01-21,NA,NA,NA,69676.7849643399
2011-01-22,1703,NA,NA,NA
2011-01-23,NA,1081,NA,NA
2011-01-25,NA,NA,NA,62414.4730654201
2011-01-26,1251,NA,NA,NA
2011-01-27,NA,841,NA,NA
2011-01-29,NA,NA,NA,75666.96195608
2011-01-30,2852,NA,NA,NA
2011-01-31,NA,1393,NA,NA
