"path","exists","size_bytes","modified_time","output_type","module","description"
"data/processed/crypto_daily_clean.csv",TRUE,60680066,"2026-03-13 23:40:18.187998","processed_data","01_load_and_clean_data","Cleaned daily cryptocurrency panel"
"data/processed/crypto_monthly.csv",TRUE,1669561,"2026-03-13 23:40:18.316955","processed_data","01_load_and_clean_data","Monthly cryptocurrency panel"
"data/processed/crypto_weekly.csv",TRUE,3688092,"2026-03-13 23:40:18.276761","processed_data","01_load_and_clean_data","Weekly cryptocurrency panel"
"data/processed/market_index_daily.csv",TRUE,165245,"2026-03-13 23:40:18.32309","processed_data","01_load_and_clean_data","Daily crypto market proxy index"
"outputs/figures/crypto_vs_coin_market.png",TRUE,251550,"2026-03-13 23:41:06.144589","figure","02_descriptive_statistics","Asset vs crypto market comparison plots"
"outputs/figures/crypto_vs_coin_market_sp500.png",TRUE,296448,"2026-03-13 23:41:06.751803","figure","02_descriptive_statistics","Asset vs crypto market comparison plots"
"outputs/figures/return_distributions.png",TRUE,101283,"2026-03-13 23:41:05.862665","figure","02_descriptive_statistics","Return distribution plots"
"outputs/tables/extreme_return_events.csv",TRUE,258,"2026-03-13 23:41:07.750906","table_csv","02_descriptive_statistics","Extreme return event frequencies"
"outputs/tables/group_return_summary_statistics.csv",TRUE,441,"2026-03-14 00:31:12.237592","table_csv","02_descriptive_statistics","Project output artifact"
"outputs/tables/memecoin_vs_conventional_summary_statistics.csv",TRUE,2449,"2026-03-14 00:31:11.982961","table_csv","02_descriptive_statistics","Grouped crypto summary statistics"
"outputs/tables/panel_a_market_characteristics.csv",TRUE,662,"2026-03-13 23:41:08.749792","table_csv","02_descriptive_statistics","Panel A market characteristics"
"outputs/tables/panel_b_return_characteristics.csv",TRUE,18927,"2026-03-13 23:41:08.917777","table_csv","02_descriptive_statistics","Panel B return characteristics"
"outputs/tables/selected_assets_summary_statistics.csv",TRUE,478,"2026-03-13 23:41:07.759723","table_csv","02_descriptive_statistics","Selected assets and market summary statistics"
"outputs/tables/summary_statistics_by_frequency.csv",TRUE,74240,"2026-03-13 23:41:07.10985","table_csv","02_descriptive_statistics","Summary statistics by frequency"
"outputs/figures/generic_quintile_returns.png",TRUE,622548,"2026-03-13 23:50:41.903521","figure","03_cross_sectional_predictors","Project output artifact"
"outputs/tables/momentum_strategy_summary.csv",TRUE,1027,"2026-03-13 23:50:58.352292","table_csv","03_cross_sectional_predictors","Momentum strategy summary table"
"outputs/tables/size_strategy_quintiles.csv",TRUE,1059,"2026-03-13 23:50:47.76473","table_csv","03_cross_sectional_predictors","Size strategy quintile table"
"outputs/tables/size_strategy_spreads.csv",TRUE,452,"2026-03-13 23:50:53.21655","table_csv","03_cross_sectional_predictors","Size strategy spread table"
"outputs/tables/volatility_strategy_summary.csv",TRUE,335,"2026-03-13 23:51:10.120108","table_csv","03_cross_sectional_predictors","Volatility strategy summary table"
"outputs/tables/volume_strategy_summary.csv",TRUE,328,"2026-03-13 23:51:02.191632","table_csv","03_cross_sectional_predictors","Volume strategy summary table"
"outputs/figures/crypto_factor_cumulative_returns.png",TRUE,137481,"2026-03-14 00:24:55.53978","figure","04_crypto_factor_model","Cumulative crypto factor plot"
"outputs/tables/crypto_factor_correlations.csv",TRUE,163,"2026-03-14 00:24:55.205797","table_csv","04_crypto_factor_model","Project output artifact"
"outputs/tables/crypto_factor_model_results.csv",TRUE,5227,"2026-03-14 00:24:58.296827","table_csv","04_crypto_factor_model","Factor model regression results"
"outputs/tables/crypto_factor_returns.csv",TRUE,176949,"2026-03-14 00:24:55.20476","table_csv","04_crypto_factor_model","Estimated crypto factor return series"
"outputs/tables/strategy_test_portfolios.csv",TRUE,895723,"2026-03-14 00:24:58.132174","table_csv","04_crypto_factor_model","Long-short test strategy returns"
"outputs/figures/conventional_assets_vs_coin_market.png",TRUE,269844,"2026-03-14 00:31:11.53636","figure","05_memecoin_vs_conventional_analysis","Project output artifact"
"outputs/figures/meme_vs_conventional_drawdowns.png",TRUE,233822,"2026-03-14 00:31:11.961498","figure","05_memecoin_vs_conventional_analysis","Project output artifact"
"outputs/figures/meme_vs_conventional_vs_market.png",TRUE,231907,"2026-03-14 00:31:11.826121","figure","05_memecoin_vs_conventional_analysis","Grouped performance comparison plot"
"data/processed/crypto_group_comparison_daily.csv",TRUE,650529,"2026-03-14 00:31:11.075886","processed_data","05_memecoin_vs_conventional_analysis","Project output artifact"
"data/processed/crypto_group_comparison_monthly.csv",TRUE,8285,"2026-03-14 00:31:11.082587","processed_data","05_memecoin_vs_conventional_analysis","Project output artifact"
"data/processed/crypto_group_comparison_weekly.csv",TRUE,100384,"2026-03-14 00:31:11.080942","processed_data","05_memecoin_vs_conventional_analysis","Weekly grouped crypto comparison dataset"
"data/processed/weekly_market_caps.csv",TRUE,24482,"2026-03-14 00:31:11.084075","processed_data","05_memecoin_vs_conventional_analysis","Project output artifact"
"outputs/tables/google_trends_attention_best_fit_summary.csv",FALSE,NA,NA,"table_csv","06_google_trends_attention_models","Project output artifact"
"outputs/tables/google_trends_attention_model_results.csv",FALSE,NA,NA,"table_csv","06_google_trends_attention_models","Google Trends attention model coefficients"
"outputs/tables/google_trends_attention_r_squared.csv",FALSE,NA,NA,"table_csv","06_google_trends_attention_models","Google Trends model fit table"
"outputs/tables/google_trends_keyword_summary.csv",FALSE,NA,NA,"table_csv","06_google_trends_attention_models","Project output artifact"
"outputs/figures/macro_sentiment_hashrate_correlation_heatmap.png",TRUE,298495,"2026-03-14 00:55:52.577686","figure","07_macro_sentiment_hashrate_models","Macro/sentiment/hash-rate correlation heatmap"
"data/processed/macro_sentiment_hashrate_weekly.csv",TRUE,129074,"2026-03-14 00:55:41.453067","processed_data","07_macro_sentiment_hashrate_models","Project output artifact"
"outputs/tables/macro_sentiment_hashrate_correlations.csv",TRUE,1667,"2026-03-14 00:55:48.819255","table_csv","07_macro_sentiment_hashrate_models","Project output artifact"
"outputs/tables/macro_sentiment_hashrate_model_results.csv",TRUE,5167,"2026-03-14 00:55:57.132936","table_csv","07_macro_sentiment_hashrate_models","Macro, sentiment, and hash-rate model results"
"outputs/tables/macro_sentiment_hashrate_summary.csv",TRUE,1191,"2026-03-14 00:55:44.68554","table_csv","07_macro_sentiment_hashrate_models","Project output artifact"
"outputs/figures/network_factor_correlation_heatmap.png",TRUE,268114,"2026-03-14 01:12:56.503486","figure","08_network_factors_models","Project output artifact"
"outputs/figures/network_pca_factor_vs_returns.png",TRUE,332830,"2026-03-14 01:12:57.618368","figure","08_network_factors_models","Network PCA factor comparison plot"
"data/processed/network_crypto_merged_weekly.csv",TRUE,133559,"2026-03-14 01:12:55.759959","processed_data","08_network_factors_models","Project output artifact"
"data/processed/network_factors_weekly.csv",TRUE,60918,"2026-03-14 01:12:55.752537","processed_data","08_network_factors_models","Project output artifact"
"outputs/tables/network_factor_correlations.csv",TRUE,1385,"2026-03-14 01:12:56.27501","table_csv","08_network_factors_models","Project output artifact"
"outputs/tables/network_factor_summary.csv",TRUE,1613,"2026-03-14 01:12:55.781308","table_csv","08_network_factors_models","Project output artifact"
"outputs/tables/network_pca_loadings.csv",TRUE,171,"2026-03-14 01:12:55.724844","table_csv","08_network_factors_models","PCA loadings for network factor"
"outputs/figures/generic_long_short_returns.png",TRUE,206321,"2026-03-13 23:50:43.628814","figure","project_level","Project output artifact"
"data/processed/risk_free_daily.csv",TRUE,32319,"2026-03-13 23:40:14.476954","processed_data","project_level","Daily risk-free rate series"
"outputs/tables/network_granger_results.csv",TRUE,146,"2026-03-14 01:12:57.390786","table_csv","project_level","Project output artifact"
"outputs/tables/network_multivariate_model_results.csv",TRUE,5244,"2026-03-14 01:12:57.290363","table_csv","project_level","Multivariate network-factor model results"
"outputs/tables/network_univariate_model_results.csv",TRUE,7316,"2026-03-14 01:12:56.576169","table_csv","project_level","Univariate network-factor model results"
