"Strategy","Specification","Intercept","t(Intercept)","CMKT","t(CMKT)","CSMB","t(CSMB)","CMOM","t(CMOM)","R_squared","Adj_R_squared","MAE","N"
"MCAP","Model 1: CMKT","0.0882***",49.4746047302162,"0.0117",0.43865756577241,"",NA,"",NA,0.0000756312527550829,-0.000317420778985111,0.0763740896145492,2546
"MCAP","Model 2: CMKT + CSMB","0.0631***",28.6585591047907,"-0.4928***",-12.9781699969435,"-0.5460***",-17.729265919755,"",NA,0.110074630811583,0.10937472883031,0.0712007765318743,2546
"MCAP","Model 3: CMKT + CSMB + CMOM","-0.0024",-0.625431737586305,"-0.7543***",-19.9974399339412,"-0.1509***",-4.32298309346757,"-0.3806***",-19.8399759521544,0.229400702938199,0.228491262383051,0.0617753284063559,2546
"PRC","Model 1: CMKT","0.0771***",49.61651943728,"0.0337",1.45381412339129,"",NA,"",NA,0.000830118312751418,0.000437362856113288,0.0619284517800567,2546
"PRC","Model 2: CMKT + CSMB","0.0554***",28.857516839415,"-0.4010***",-12.1084193303881,"-0.4704***",-17.5174667124779,"",NA,0.108416712781057,0.107715506892563,0.0577443249582454,2546
"PRC","Model 3: CMKT + CSMB + CMOM","0.0057*",1.66514073739566,"-0.5991***",-17.8776323500486,"-0.1710***",-5.5159102333324,"-0.2884***",-16.9222852842379,0.198686970609147,0.197741282533548,0.0515816954325136,2546
"ADJUSTED","Model 1: CMKT","0.0771***",49.61651943728,"0.0337",1.45381412339129,"",NA,"",NA,0.000830118312751418,0.000437362856113288,0.0619284517800567,2546
"ADJUSTED","Model 2: CMKT + CSMB","0.0554***",28.857516839415,"-0.4010***",-12.1084193303881,"-0.4704***",-17.5174667124779,"",NA,0.108416712781057,0.107715506892563,0.0577443249582454,2546
"ADJUSTED","Model 3: CMKT + CSMB + CMOM","0.0057*",1.66514073739566,"-0.5991***",-17.8776323500486,"-0.1710***",-5.5159102333324,"-0.2884***",-16.9222852842379,0.198686970609147,0.197741282533548,0.0515816954325136,2546
"MOM_7","Model 1: CMKT","-0.3642***",-146.064369334944,"0.0813**",2.18326414980381,"",NA,"",NA,0.00187017605637984,0.00147782942747121,0.103874180828914,2546
"MOM_7","Model 2: CMKT + CSMB","-0.3449***",-107.530241003136,"0.4680***",8.46000575238924,"0.4185***",9.32788744919481,"",NA,0.0348916391842864,0.0341326078348442,0.102495893421175,2546
"MOM_7","Model 3: CMKT + CSMB + CMOM","-0.1685***",-37.6081322200716,"1.1718***",26.9438852088025,"-0.6450***",-16.0266683320273,"1.0245***",46.31405289562,0.47657138796026,0.47595365159672,0.0681050741693766,2546
"MOM_14","Model 1: CMKT","-0.0306***",-16.2984280135217,"-0.2286***",-6.8341692707822,"",NA,"",NA,0.0180561192403891,0.01766952716135,0.0696244546763747,2542
"MOM_14","Model 2: CMKT + CSMB","-0.0336***",-13.5074298983561,"-0.2811***",-6.44619166381578,"-0.0668*",-1.8746867163206,"",NA,0.0194134342206694,0.0186410147123751,0.0697398013078219,2542
