"dependent_variable","specification","term","estimate_fmt","estimate","std.error","statistic","p.value","r_squared","adj_r_squared","aic","bic","n"
"Meme Coins","Baseline macro-sentiment-hashrate model","(Intercept)","0.0207",0.020729231718153,0.213181563805891,0.0972374503126721,0.92261573692864,0.0217645342030729,-0.00171311697605336,-1154.86717640218,-1126.47456772302,257
"Meme Coins","Baseline macro-sentiment-hashrate model","SP500","0.0000",-0.000000773344555962163,0.0000137816960363631,-0.0561138885897416,0.955295900024837,0.0217645342030729,-0.00171311697605336,-1154.86717640218,-1126.47456772302,257
"Meme Coins","Baseline macro-sentiment-hashrate model","DowJones","0.0000",0.000000739298494877842,0.0000024050817644102,0.307390171019463,0.758802319516452,0.0217645342030729,-0.00171311697605336,-1154.86717640218,-1126.47456772302,257
"Meme Coins","Baseline macro-sentiment-hashrate model","TreasuryYield10Y","0.0039",0.00393463362702626,0.00511626423469314,0.769044257008013,0.442592971194496,0.0217645342030729,-0.00171311697605336,-1154.86717640218,-1126.47456772302,257
"Meme Coins","Baseline macro-sentiment-hashrate model","GoldFutures","0.0000",-0.00000371314600369435,0.00000588546684978613,-0.63090084414107,0.528681701840687,0.0217645342030729,-0.00171311697605336,-1154.86717640218,-1126.47456772302,257
"Meme Coins","Baseline macro-sentiment-hashrate model","FearGreed","0.0001",0.0000593430750514818,0.000099379763229841,0.597134397616101,0.550958072042411,0.0217645342030729,-0.00171311697605336,-1154.86717640218,-1126.47456772302,257
"Meme Coins","Baseline macro-sentiment-hashrate model","log_hash_rate","-0.0027",-0.00273188362021321,0.0126683267705135,-0.215646759805081,0.829438936972277,0.0217645342030729,-0.00171311697605336,-1154.86717640218,-1126.47456772302,257
"Conventional Coins","Baseline macro-sentiment-hashrate model","(Intercept)","-0.0317",-0.0317209658576603,0.0911138167611553,-0.348146603723268,0.728023059459039,0.0611277539016981,0.0385948199953389,-1591.78504109232,-1563.39243241315,257
"Conventional Coins","Baseline macro-sentiment-hashrate model","SP500","0.0000",-0.00000485684730034634,0.00000589029794555073,-0.824550361499964,0.41041291961311,0.0611277539016981,0.0385948199953389,-1591.78504109232,-1563.39243241315,257
"Conventional Coins","Baseline macro-sentiment-hashrate model","DowJones","0.0000",0.000000464207637463526,0.00000102793213102423,0.451593664069039,0.651953250493147,0.0611277539016981,0.0385948199953389,-1591.78504109232,-1563.39243241315,257
"Conventional Coins","Baseline macro-sentiment-hashrate model","TreasuryYield10Y","-0.0003",-0.000299149068124922,0.0021866917272731,-0.13680440841013,0.891295504227874,0.0611277539016981,0.0385948199953389,-1591.78504109232,-1563.39243241315,257
"Conventional Coins","Baseline macro-sentiment-hashrate model","GoldFutures","0.0000",0.00000155098094766516,0.00000251544898410417,0.616582151920489,0.538071429225961,0.0611277539016981,0.0385948199953389,-1591.78504109232,-1563.39243241315,257
"Conventional Coins","Baseline macro-sentiment-hashrate model","FearGreed","0.0001***",0.000136871828387365,0.0000424749184452719,3.2224153311494,0.00144000976801121,0.0611277539016981,0.0385948199953389,-1591.78504109232,-1563.39243241315,257
"Conventional Coins","Baseline macro-sentiment-hashrate model","log_hash_rate","0.0015",0.00148270474329257,0.00541444383572494,0.273842482862148,0.784431789998889,0.0611277539016981,0.0385948199953389,-1591.78504109232,-1563.39243241315,257
"Coin Market","Baseline macro-sentiment-hashrate model","(Intercept)","-0.0322",-0.0321504969306714,0.0911266480097947,-0.352811143972021,0.724527306183411,0.0614674383405317,0.0389426568607044,-1591.71266131848,-1563.32005263932,257
"Coin Market","Baseline macro-sentiment-hashrate model","SP500","0.0000",-0.00000490659206719558,0.0000058911274561583,-0.832878273931498,0.405708341957554,0.0614674383405317,0.0389426568607044,-1591.71266131848,-1563.32005263932,257
"Coin Market","Baseline macro-sentiment-hashrate model","DowJones","0.0000",0.00000047202247204533,0.00000102807689120689,0.45913148722875,0.646538693293388,0.0614674383405317,0.0389426568607044,-1591.71266131848,-1563.32005263932,257
"Coin Market","Baseline macro-sentiment-hashrate model","TreasuryYield10Y","-0.0003",-0.000314481756327229,0.00218699967162499,-0.143795977844644,0.885777420488525,0.0614674383405317,0.0389426568607044,-1591.71266131848,-1563.32005263932,257
"Coin Market","Baseline macro-sentiment-hashrate model","GoldFutures","0.0000",0.00000155032878041031,0.00000251580322622137,0.616236104736554,0.538299393416101,0.0614674383405317,0.0389426568607044,-1591.71266131848,-1563.32005263932,257
"Coin Market","Baseline macro-sentiment-hashrate model","FearGreed","0.0001***",0.000137346581211737,0.0000424809000434409,3.23313727042711,0.00138914171670234,0.0614674383405317,0.0389426568607044,-1591.71266131848,-1563.32005263932,257
"Coin Market","Baseline macro-sentiment-hashrate model","log_hash_rate","0.0015",0.00150407648508651,0.00541520633341815,0.277750540326524,0.781433415460976,0.0614674383405317,0.0389426568607044,-1591.71266131848,-1563.32005263932,257
