"Series","Frequency","Mean","Median","SD","t_Stat","Sharpe","Skewness","Kurtosis","Positive","N"
"Bitcoin","Daily",0.00803065754403161,-0.0257524191753376,2.95783841998064,0.114933243586559,0.00271504267771468,-0.260301321903159,6.97167282839963,49.4419642857143,1792
"Ethereum","Daily",-0.00840151849931685,0.022219310427279,3.99478511963399,-0.0890293837343123,-0.00210312150659223,-0.267191063298612,8.35934300948565,50.390625,1792
"Ripple","Daily",-0.00602740476327331,-0.0671792296786388,4.73430795149488,-0.0538943025020988,-0.00127313322771285,0.876189760335456,20.2165424523995,49.21875,1792
"Dogecoin","Daily",-0.0749174030210748,-0.131062290151263,5.45281534068412,-0.581608743023217,-0.0137392151283956,-0.131071403146914,10.9666442141969,48.2700892857143,1792
"Shiba Inu","Daily",0.0994407768984171,0,9.17929575298354,0.458589544003752,0.0108331597079325,4.10581236595398,81.878935388095,18.0803571428571,1792
"Coin Market","Daily",0.0110449843681071,-0.0102826369510974,2.97145705571278,0.157349240185994,0.00371702641533134,-0.276360283585665,6.98328177878498,49.8325892857143,1792
"Bitcoin","Weekly",0.00366210349285883,0.019339057451063,1.09031945676283,0.0538447559703423,0.00335874359587388,-0.57468836202652,6.55862142340582,52.1400778210117,257
"Ethereum","Weekly",-0.0199666485054685,0.0097119703146508,1.53090937968472,-0.209084698254749,-0.0130423451384043,-0.402836218276953,5.27827250635861,50.5836575875486,257
"Ripple","Weekly",-0.00518291747704661,-0.0931602674747474,1.7062598217232,-0.0486962693982181,-0.00303758982721181,0.963082394447731,9.8974381888528,45.9143968871595,257
"Dogecoin","Weekly",-0.158342451121026,-0.217066862747722,2.51223612443015,-1.01042357127023,-0.0630284906666338,-3.33556607504153,41.9045918697096,42.4124513618677,257
"Shiba Inu","Weekly",0.33182982828052,0,5.3390078983774,0.99637178460188,0.062151964296844,9.22679486657291,113.603594997209,40.8560311284047,257
"Coin Market","Weekly",0.00652965952496144,0.0202381863573161,1.09637576018728,0.0954767600485011,0.00595567665947491,-0.585792104546107,6.47153957760461,51.7509727626459,257
"Conventional Coins","Weekly",0.00568772085478594,0.018254984521544,1.0960229730823,0.0831926920834383,0.00518941755280054,-0.590428285015008,6.47992731665984,51.7509727626459,257
"Meme Coins","Weekly",-0.158275251050667,-0.21663603911203,2.51229083954063,-1.00997275383275,-0.0630003694475149,-3.33534764123041,41.9014534039805,42.4124513618677,257
