"Variable","Mean","Median","SD","t_Stat","Skewness","Kurtosis","N"
"weekly_return_meme",-0.00158082056945019,-0.0021663603911203,0.0251238300117611,-1.00870295624968,-3.33515933409292,41.8963665656372,257
"weekly_return_conventional",0.000057449800328516,0.00018254984521544,0.010960715210277,0.0840264840418584,-0.590394413102006,6.47902981233326,257
"weekly_market_return",0.0000658690381412239,0.000202381863573161,0.0109642423840556,0.0963095282342642,-0.585759223782603,6.47064401146243,257
"UniqueAddresses",597928.410181583,591498,94468.1579911604,101.468281141313,0.26791494027263,2.50247609883514,257
"Transactions",639.418287937743,1119.75,89957.3012548157,0.113950227608403,-0.171026078690348,5.85910199569113,257
"Payments",4.86381322956779,-5788.5,131111.850594757,0.000594704882435904,0.135915184078547,6.85062881846584,257
"TransactionVolumeUSD",-3033.13666394964,50311.6957647394,935924.294896547,-0.0519538599707802,0.806384764550046,18.5740616116383,257
"PC_network",-0.00551879279084644,0.0292745619207338,0.555185176864617,-0.159357602693679,0.0490357313133375,4.46393410614434,257
"log_UniqueAddresses",13.2887868588286,13.2904152717821,0.158328245112724,1345.53035327004,-0.0369588024365197,2.21802074205997,257
"log_Transactions",10.3900301877735,10.587928190917,1.3532832951451,123.082029893166,-1.01464230517545,4.2812099102051,257
"log_Payments",10.7889949222235,10.8914568794442,1.26147044383912,137.110423061538,-1.02421051312894,5.65399792815737,257
"log_TransactionVolumeUSD",12.2635560408369,12.303014270398,1.38513532123244,141.935416880348,-0.366618233882722,3.69246205297423,257
