"dependent_variable","specification","term","estimate_fmt","estimate","std.error","statistic","p.value","r_squared","adj_r_squared","aic","bic","n"
"weekly_return_meme","Multivariate: log network variables","(Intercept)","0.1198",0.119829986542855,0.137987833648649,0.868409796533014,0.385996301582024,0.00606931255627639,-0.00970736502219527,-1154.7764895012,-1133.48203299183,257
"weekly_return_meme","Multivariate: log network variables","log_UniqueAddresses","-0.0090",-0.00898647749700826,0.010090275027466,-0.890607785471337,0.373989108825335,0.00606931255627639,-0.00970736502219527,-1154.7764895012,-1133.48203299183,257
"weekly_return_meme","Multivariate: log network variables","log_Transactions","-0.0009",-0.000912045555045558,0.00121804194537095,-0.748780088002468,0.454688079728896,0.00606931255627639,-0.00970736502219527,-1154.7764895012,-1133.48203299183,257
"weekly_return_meme","Multivariate: log network variables","log_Payments","0.0000",0.000031462778726457,0.00132590177606054,0.0237293435264397,0.98108727877206,0.00606931255627639,-0.00970736502219527,-1154.7764895012,-1133.48203299183,257
"weekly_return_meme","Multivariate: log network variables","log_TransactionVolumeUSD","0.0006",0.000582645524914044,0.00117209392083113,0.497097983838096,0.61955336713147,0.00606931255627639,-0.00970736502219527,-1154.7764895012,-1133.48203299183,257
"weekly_return_conventional","Multivariate: log network variables","(Intercept)","0.0208",0.0207650007215197,0.0602419532083172,0.344693350989371,0.730612413671386,0.0046713603278873,-0.0111275069684953,-1580.77789695784,-1559.48344044847,257
"weekly_return_conventional","Multivariate: log network variables","log_UniqueAddresses","-0.0009",-0.000905663100011402,0.00440515558503088,-0.20559162611394,0.837275901872709,0.0046713603278873,-0.0111275069684953,-1580.77789695784,-1559.48344044847,257
"weekly_return_conventional","Multivariate: log network variables","log_Transactions","-0.0005",-0.000491064820739652,0.000531765909635488,-0.923460514940239,0.356650623762121,0.0046713603278873,-0.0111275069684953,-1580.77789695784,-1559.48344044847,257
"weekly_return_conventional","Multivariate: log network variables","log_Payments","0.0000",0.0000300450021452393,0.000578854748568955,0.0519042164196053,0.958646134169372,0.0046713603278873,-0.0111275069684953,-1580.77789695784,-1559.48344044847,257
"weekly_return_conventional","Multivariate: log network variables","log_TransactionVolumeUSD","-0.0003",-0.000317555859834647,0.000511706179214686,-0.620582421580289,0.535435246900458,0.0046713603278873,-0.0111275069684953,-1580.77789695784,-1559.48344044847,257
"weekly_market_return","Multivariate: log network variables","(Intercept)","0.0204",0.0203784413491222,0.0602637050182491,0.338154471965359,0.735528328436949,0.00459320547854013,-0.0112069023710069,-1580.59233836099,-1559.29788185162,257
"weekly_market_return","Multivariate: log network variables","log_UniqueAddresses","-0.0009",-0.000884062517114841,0.00440674617268455,-0.200615711110104,0.841160887037848,0.00459320547854013,-0.0112069023710069,-1580.59233836099,-1559.29788185162,257
"weekly_market_return","Multivariate: log network variables","log_Transactions","-0.0005",-0.000487184516160013,0.000531957916540621,-0.915832814986995,0.360630140360764,0.00459320547854013,-0.0112069023710069,-1580.59233836099,-1559.29788185162,257
"weekly_market_return","Multivariate: log network variables","log_Payments","0.0000",0.0000339677133837298,0.000579063758034925,0.0586597121860993,0.95326963773106,0.00459320547854013,-0.0112069023710069,-1580.59233836099,-1559.29788185162,257
"weekly_market_return","Multivariate: log network variables","log_TransactionVolumeUSD","-0.0003",-0.000315493287230624,0.000511890943070413,-0.616329105840863,0.538233675010355,0.00459320547854013,-0.0112069023710069,-1580.59233836099,-1559.29788185162,257
"weekly_return_meme","Univariate PCA factor","(Intercept)","-0.0016",-0.00156276643238657,0.00156622059277891,-0.99779458882851,0.319324856935344,0.00522599903969302,0.00132492452612321,-1160.5585269369,-1149.91129868222,257
"weekly_return_meme","Univariate PCA factor","PC_network","0.0033",0.00327139244900826,0.00282644218904317,1.15742415029395,0.248182105286388,0.00522599903969302,0.00132492452612321,-1160.5585269369,-1149.91129868222,257
"weekly_return_conventional","Univariate PCA factor","(Intercept)","0.0001",0.0000613522785367857,0.000684644318332892,0.0896119005064972,0.928665970120213,0.00128289388048389,-0.00263364379057296,-1585.90445990954,-1575.25723165485,257
"weekly_return_conventional","Univariate PCA factor","PC_network","0.0007",0.000707125336312957,0.00123552684388562,0.572326971131692,0.567604707666308,0.00128289388048389,-0.00263364379057296,-1585.90445990954,-1575.25723165485,257
"weekly_market_return","Univariate PCA factor","(Intercept)","0.0001",0.000069813407381043,0.000684855432662289,0.101938896957643,0.918885287447752,0.0013097409874865,-0.00260669140079783,-1585.7459892474,-1575.09876099271,257
"weekly_market_return","Univariate PCA factor","PC_network","0.0007",0.000714715951351012,0.00123590782626452,0.578292277273792,0.563577167497847,0.0013097409874865,-0.00260669140079783,-1585.7459892474,-1575.09876099271,257
