"dependent_variable","specification","term","estimate_fmt","estimate","std.error","statistic","p.value","r_squared","adj_r_squared","aic","bic","n"
"weekly_return_meme","Univariate: UniqueAddresses","(Intercept)","0.0071",0.00710107911272271,0.0100661751559989,0.705439653361374,0.481180578081956,0.0029807829287357,-0.000929096353896597,-1159.9791286543,-1149.33190039962,257
"weekly_return_meme","Univariate: UniqueAddresses","UniqueAddresses","0.0000",-0.0000000145199651569263,0.0000000166296103536532,-0.873139228649248,0.383408658625502,0.0029807829287357,-0.000929096353896597,-1159.9791286543,-1149.33190039962,257
"weekly_return_meme","Univariate: Transactions","(Intercept)","-0.0016",-0.00159800532119545,0.00156300370972998,-1.02239381215002,0.307563492256159,0.00926014019865387,0.00537488584649171,-1161.60286686825,-1150.95563861356,257
"weekly_return_meme","Univariate: Transactions","Transactions","0.0000",0.000000026875602511604,0.0000000174084119853926,1.54382849705966,0.123869956192483,0.00926014019865387,0.00537488584649171,-1161.60286686825,-1150.95563861356,257
"weekly_return_meme","Univariate: Payments","(Intercept)","-0.0016",-0.00158088759156822,0.00156618602086413,-1.00938686114436,0.313745961511298,0.00517124029961779,0.00126995104589078,-1160.54438039823,-1149.89715214354,257
"weekly_return_meme","Univariate: Payments","Payments","0.0000",0.0000000137797474665696,0.0000000119687273750709,1.15131266965532,0.250681987086939,0.00517124029961779,0.00126995104589078,-1160.54438039823,-1149.89715214354,257
"weekly_return_meme","Univariate: TransactionVolumeUSD","(Intercept)","-0.0016",-0.00159343290926323,0.00155130621555868,-1.02715562748479,0.30532052644761,0.0239947991241374,0.0201673277481537,-1165.45377593757,-1154.80654768288,257
"weekly_return_meme","Univariate: TransactionVolumeUSD","TransactionVolumeUSD","0.0000**",-0.00000000415818382433757,0.00000000166073791616855,-2.50381699836831,0.0129116828031119,0.0239947991241374,0.0201673277481537,-1165.45377593757,-1154.80654768288,257
"weekly_return_meme","Univariate: PC_network","(Intercept)","-0.0016",-0.00156276643238657,0.00156622059277891,-0.99779458882851,0.319324856935344,0.00522599903969302,0.00132492452612321,-1160.5585269369,-1149.91129868222,257
"weekly_return_meme","Univariate: PC_network","PC_network","0.0033",0.00327139244900826,0.00282644218904317,1.15742415029395,0.248182105286388,0.00522599903969302,0.00132492452612321,-1160.5585269369,-1149.91129868222,257
"weekly_return_conventional","Univariate: UniqueAddresses","(Intercept)","0.0005",0.000493211926524273,0.00439801998312611,0.112144084932897,0.910797389285865,0.0000394542408481996,-0.00388195966408977,-1585.58468445368,-1574.937456199,257
"weekly_return_conventional","Univariate: UniqueAddresses","UniqueAddresses","0.0000",-0.000000000728786454658378,0.00000000726565527755414,-0.10030567468702,0.920180468194246,0.0000394542408481996,-0.00388195966408977,-1585.58468445368,-1574.937456199,257
"weekly_return_conventional","Univariate: Transactions","(Intercept)","0.0001",0.0000547503936166173,0.000684655965681074,0.0799677449128094,0.936325631577498,0.00120049840861049,-0.00271636238194395,-1585.88325794686,-1575.23602969217,257
"weekly_return_conventional","Univariate: Transactions","Transactions","0.0000",0.00000000422166016021507,0.00000000762555651316528,0.553619942744704,0.580324069698218,0.00120049840861049,-0.00271636238194395,-1585.88325794686,-1575.23602969217,257
"weekly_return_conventional","Univariate: Payments","(Intercept)","0.0001",0.0000574650684444214,0.00068456679251357,0.0839436985154116,0.933167057373573,0.00141001334862698,-0.0025060258147116,-1585.93717366044,-1575.28994540576,257
"weekly_return_conventional","Univariate: Payments","Payments","0.0000",-0.00000000313912462995677,0.00000000523143049450858,-0.600050910215074,0.549005161609436,0.00141001334862698,-0.0025060258147116,-1585.93717366044,-1575.28994540576,257
"weekly_return_conventional","Univariate: TransactionVolumeUSD","(Intercept)","0.0000",0.0000483232796005757,0.000662056272338127,0.0729896862541859,0.941871543412405,0.0660131088206504,0.062350415129751,-1603.12581364361,-1592.47858538893,257
