"Quintile","Mean","tMean","N","Measure","Mean_with_stars"
1,-0.0649615393151704,-30.2289386661056,74218,"MCAP","-0.064962***"
2,0.0097115462046712,5.02434917887366,74089,"MCAP","0.009712***"
3,-0.0178908614250231,-12.0666666512172,74068,"MCAP","-0.017891***"
4,0.0150587379319903,11.6586158650527,74053,"MCAP","0.015059***"
5,0.0496756414737184,38.2213738750646,74041,"MCAP","0.049676***"
1,-0.104926724119978,-49.9952942660487,74218,"PRC","-0.104927***"
2,-0.0186670818702014,-11.1680019110637,74089,"PRC","-0.018667***"
3,0.0291205764085171,17.4990220440552,74068,"PRC","0.029121***"
4,0.0483531441224271,32.2819559621655,74053,"PRC","0.048353***"
5,0.0378050079356436,30.0442741899221,74041,"PRC","0.037805***"
1,-0.104926724119978,-49.9952942660487,74218,"MAXDPRC","-0.104927***"
2,-0.0186670818702014,-11.1680019110637,74089,"MAXDPRC","-0.018667***"
3,0.0291205764085171,17.4990220440552,74068,"MAXDPRC","0.029121***"
4,0.0483531441224271,32.2819559621655,74053,"MAXDPRC","0.048353***"
5,0.0378050079356436,30.0442741899221,74041,"MAXDPRC","0.037805***"
